Company,Region,Country,Sector,Industry,ESG,E,G,S,GC,ROA 2023,Entity Name,gc_262
"Bank of Ningbo Co., Ltd.",Asia,China,Finance,Regional Banks,42.27,41.59,40.06,44.07,48.84,2.30,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",48.56
"Huaneng Power International, Inc.",Asia,China,Utilities,Electric Utilities,53.72,61.62,44.55,50.67,61.79,4.70,Tata Consultancy Services Ltd.,65.18
"Jiangsu Hengli Hydraulic Co., Ltd.",Asia,China,Producer Manufacturing,Auto Parts: OEM,44.18,46.13,43.18,41.60,52.71,4.30,"Shanghai International Port (Group) Co., Ltd.",61.31
"China Yangtze Power Co., Ltd.",Asia,China,Utilities,Electric Utilities,46.97,47.65,45.43,47.52,66.60,2.10,TCL Technology Group Corp.,61.48
NOVATEK JSC,Europe,Russian Federation,Energy Minerals,Integrated Oil,58.96,60.88,56.34,59.80,65.77,8.70,Hua Hong Semiconductor Ltd.,66.30
China Railway Group Ltd.,Asia,China,Industrial Services,Engineering & Construction,52.85,60.68,48.35,46.04,59.70,4.20,Centrais Elétricas Brasileiras SA,66.83
Luxshare Precision Industry Co. Ltd.,Asia,China,Electronic Technology,Electronic Components,54.93,55.79,52.20,55.73,69.38,5.60,"Bank of Beijing Co., Ltd.",50.92
Longfor Group Holdings Ltd.,Asia,China,Finance,Real Estate Development,57.23,58.51,58.09,53.60,62.71,5.70,"Advanced Micro Fabrication Equipment, Inc. China",59.46
"Shaanxi Coal Industry Co., Ltd.",Asia,China,Energy Minerals,Coal,45.20,46.55,45.32,43.17,56.18,4.30,Coal India Ltd.,56.44
"Iflytek Co., Ltd.",Asia,China,Technology Services,Information Technology Services,46.07,42.12,39.84,53.07,46.88,2.40,China Railway Construction Corp. Ltd.,66.00
China Southern Airlines Co. Ltd.,Asia,China,Transportation,Airlines,46.73,50.34,43.86,45.24,61.93,3.40,"CITIC Securities Co., Ltd.",57.34
China United Network Communications Ltd.,Asia,China,Communications,Major Telecommunications,46.83,43.14,46.86,50.62,66.03,3.80,"Guangdong Haid Group Co., Ltd.",53.88
"Baidu, Inc.",Asia,China,Technology Services,Internet Software/Services,50.89,54.70,40.02,53.61,55.99,4.60,Hindalco Industries Ltd.,65.82
"Weichai Power Co., Ltd.",Asia,China,Producer Manufacturing,Auto Parts: OEM,54.63,56.23,51.70,53.95,63.50,5.80,"Great Wall Motor Co., Ltd.",55.73
Tata Motors Ltd.,Asia,India,Consumer Durables,Motor Vehicles,59.34,58.56,55.87,62.51,59.33,8.30,"Shanghai Electric Group Co., Ltd.",65.13
"NAURA Technology Group Co., Ltd.",Asia,China,Producer Manufacturing,Industrial Machinery,50.67,51.85,45.70,52.87,61.19,5.30,Siemens Ltd.,69.97
"Will Semiconductor Co., Ltd. Shanghai",Asia,China,Electronic Technology,Semiconductors,48.30,47.23,48.35,50.05,58.99,2.30,Itaú Unibanco Holding SA,68.01
"Shenwan Hongyuan Group Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,50.06,57.25,49.35,46.77,57.28,4.30,"Luzhou Laojiao Co., Ltd.",55.14
China Eastern Airlines Corp. Ltd.,Asia,China,Transportation,Airlines,47.83,51.40,45.43,45.80,58.09,5.20,China Tower Corp. Ltd.,56.68
"Unigroup Guoxin Microelectronics Co., Ltd.",Asia,China,Electronic Technology,Semiconductors,44.81,48.08,40.96,42.06,53.56,4.70,"Sany Heavy Industry Co., Ltd.",62.13
Chongqing Changan Automobile Co. Ltd.,Asia,China,Consumer Durables,Motor Vehicles,50.52,58.70,40.91,45.61,56.17,2.40,"Yum China Holdings, Inc.",70.27
Meituan,Asia,China,Transportation,Air Freight/Couriers,50.08,56.94,49.95,45.00,55.90,4.60,PhosAgro PJSC,67.13
TCL Technology Group Corp.,Asia,China,Electronic Technology,Telecommunications Equipment,46.21,54.45,45.85,37.96,61.48,3.20,Semiconductor Manufacturing International Corp.,60.59
"China Vanke Co., Ltd.",Asia,China,Finance,Real Estate Development,55.46,58.25,46.95,56.49,65.33,4.60,Bajaj Finserv Ltd.,55.18
Petróleo Brasileiro SA,South America,Brazil,Energy Minerals,Integrated Oil,58.57,58.27,56.38,62.53,57.70,7.80,Indian Oil Corp. Ltd.,68.01
"SDIC Power Holdings Co., Ltd.",Asia,China,Utilities,Electric Utilities,52.52,59.79,47.98,45.50,61.35,2.40,Eicher Motors Ltd.,57.46
"Shanghai Pharmaceuticals Holding Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,50.36,58.02,43.65,47.80,57.26,4.30,"China Zheshang Bank Co., Ltd.",62.87
"Yankuang Energy Group Co., Ltd.",Asia,China,Energy Minerals,Coal,52.78,57.71,47.68,49.99,58.24,5.60,"Ping An Bank Co., Ltd.",59.21
Asian Paints Ltd.,Asia,India,Process Industries,Industrial Specialties,60.59,64.66,52.50,60.18,58.74,7.60,Inner Mongolia Baotou Steel Union Co. Ltd.,52.88
"China Galaxy Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,48.88,58.75,49.76,42.77,57.89,4.20,"Industrial Bank Co., Ltd.",62.11
"Shenzhen Transsion Holding Co., Ltd.",Asia,China,Communications,Major Telecommunications,46.81,48.29,42.71,47.73,57.35,3.50,"Yunnan Baiyao Group Co., Ltd.",55.79
China International Capital Corp. Ltd.,Asia,China,Finance,Investment Banks/Brokers,46.80,48.73,43.15,48.69,61.80,4.20,"New China Life Insurance Co., Ltd.",45.84
China Railway Signal & Communication Corp. Ltd.,Asia,China,Electronic Technology,Electronic Equipment/Instruments,48.38,48.55,45.79,49.85,61.32,4.60,LTIMindtree Ltd.,63.22
Nestlé India Ltd.,Asia,India,Consumer Non-Durables,Food: Major Diversified,50.71,49.86,48.90,52.32,58.78,6.50,"Bank of Shanghai Co., Ltd.",61.46
Oil & Natural Gas Corp. Ltd.,Asia,India,Energy Minerals,Oil Refining/Marketing,55.92,56.31,57.10,53.38,63.40,7.50,China Petroleum & Chemical Corp.,57.91
Tech Mahindra Ltd.,Asia,India,Technology Services,Information Technology Services,60.87,63.81,61.37,58.35,66.21,7.80,Ambuja Cements Ltd.,59.40
"China Zheshang Bank Co., Ltd.",Asia,China,Finance,Major Banks,49.35,52.24,49.08,48.21,62.87,4.20,Meituan,55.90
ICICI Bank Ltd.,Asia,India,Finance,Regional Banks,56.86,68.42,57.72,50.97,55.06,6.30,China United Network Communications Ltd.,66.03
"Wuxi Biologics (Cayman), Inc.",Asia,China,Health Technology,Biotechnology,53.34,55.05,52.95,52.99,64.17,5.10,China Railway Signal & Communication Corp. Ltd.,61.32
Novolipetsk Steel,Europe,Russian Federation,Non-Energy Minerals,Steel,59.33,62.51,54.42,57.91,72.34,8.30,WEG SA,64.84
"Chongqing Zhifei Biological Products Co., Ltd.",Asia,China,Health Technology,Biotechnology,47.21,51.13,43.17,47.53,59.43,5.20,"LONGi Green Energy Technology Co., Ltd.",67.73
"Rongsheng Petrochemical Co., Ltd.",Asia,China,Distribution Services,Wholesale Distributors,52.53,61.21,39.96,47.40,62.02,6.30,"Anhui Conch Cement Co., Ltd.",61.58
Havells India Ltd.,Asia,India,Producer Manufacturing,Electrical Products,59.81,60.24,56.56,61.90,63.76,5.90,"Beijing-Shanghai High-Speed Railway Co., Ltd.",48.27
China Tourism Group Duty Free Corp. Ltd.,Asia,China,Retail Trade,Discount Stores,42.55,46.12,43.00,41.05,60.16,3.10,Metallurgical Corp. of China Ltd.,61.12
"Tata Power Co., Ltd.",Asia,India,Utilities,Electric Utilities,59.75,59.32,62.93,56.62,67.69,7.90,Titan Co. Ltd.,62.34
"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Alcoholic,45.01,46.12,43.40,44.04,59.48,4.10,Asian Paints Ltd.,58.74
Shenzhou International Group Holdings Ltd.,Asia,China,Consumer Non-Durables,Apparel/Footwear,49.01,55.01,48.43,44.29,62.32,2.50,"KE Holdings, Inc.",52.58
"Ningxia Baofeng Energy Group Co., Ltd.",Asia,China,Process Industries,Chemicals: Specialty,45.29,46.03,49.65,39.89,63.67,4.20,Havells India Ltd.,63.76
"AVIC Jonhon Optronic Technology Co., Ltd.",Asia,China,Electronic Technology,Aerospace & Defense,47.76,53.16,39.80,44.66,63.29,3.20,CRRC Corp. Ltd.,64.22
"CGN Power Co., Ltd.",Asia,China,Utilities,Electric Utilities,51.04,53.42,45.22,53.47,60.58,5.70,"Jiangxi Copper Co., Ltd.",52.20
"XPeng, Inc.",Asia,China,Consumer Durables,Motor Vehicles,53.73,58.58,49.80,49.72,57.42,5.80,CMOC Group Ltd.,65.68
"Chongqing Rural Commercial Bank Co., Ltd.",Asia,China,Finance,Regional Banks,45.84,53.52,49.11,40.11,59.71,6.20,China Communications Construction Co. Ltd.,61.46
"Focus Media Information Technology Co., Ltd.",Asia,China,Producer Manufacturing,Miscellaneous Manufacturing,41.83,44.69,41.85,37.64,47.66,3.50,Klabin SA,64.23
"JD.com, Inc.",Asia,China,Retail Trade,Internet Retail,56.58,56.81,49.62,58.01,53.84,5.90,"Yankuang Energy Group Co., Ltd.",58.24
WEG SA,South America,Brazil,Producer Manufacturing,Electrical Products,52.30,51.72,51.60,53.76,64.84,5.60,"Jiangsu Hengli Hydraulic Co., Ltd.",52.71
Centrais Elétricas Brasileiras SA,South America,Brazil,Utilities,Electric Utilities,58.59,59.09,59.03,57.30,66.83,8.10,Itausa SA,62.21
"Orient Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,48.27,53.46,45.13,47.95,62.01,3.20,Grasim Industries Ltd.,62.05
"Hengli Petrochemical Co., Ltd.",Asia,China,Process Industries,Chemicals: Specialty,52.81,55.97,47.73,51.41,61.09,4.60,"Shanghai Baosight Software Co., Ltd.",53.18
"Beijing TongRenTang Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,47.69,48.42,42.89,49.19,55.19,4.10,Sun Pharmaceutical Industries Ltd.,57.83
Banco Bradesco SA,South America,Brazil,Finance,Major Banks,56.25,64.65,51.18,55.82,69.20,9.40,"China National Nuclear Power Co., Ltd.",66.23
China Railway Construction Corp. Ltd.,Asia,China,Industrial Services,Engineering & Construction,46.80,49.90,43.68,45.09,66.00,5.60,China Oilfield Services Ltd.,58.98
"Postal Savings Bank of China Co., Ltd.",Asia,China,Finance,Major Banks,49.26,59.50,50.25,43.88,58.55,2.40,"Aier Eye Hospital Group Co., Ltd.",58.08
"China Shenhua Energy Co., Ltd.",Asia,China,Energy Minerals,Coal,55.09,56.53,51.44,56.09,67.64,5.20,United Co. RUSAL International PJSC,71.20
Punjab National Bank,Asia,India,Finance,Major Banks,45.79,43.59,44.83,48.54,44.12,4.20,"Zhangzhou Pientzehuang Pharmaceutical Co., Ltd.",56.85
Adani Enterprises Ltd.,Asia,India,Distribution Services,Wholesale Distributors,59.80,63.17,49.38,63.70,57.51,5.90,Trip.com Group Ltd.,43.06
Shree Cement Ltd.,Asia,India,Non-Energy Minerals,Construction Materials,63.14,65.54,60.27,59.88,60.20,7.90,"Haier Smart Home Co., Ltd.",69.83
"Baoshan Iron & Steel Co., Ltd.",Asia,China,Non-Energy Minerals,Steel,59.54,62.22,56.44,57.05,67.84,4.50,Bharat Electronics Ltd.,61.76
China Energy Engineering Corp. Ltd.,Asia,China,Industrial Services,Engineering & Construction,48.00,52.01,44.23,45.58,59.47,2.50,Ambev SA,58.97
"Power Construction Corporation of China, Ltd.",Asia,China,Industrial Services,Engineering & Construction,47.90,49.67,42.73,49.41,63.20,2.30,"Huaneng Power International, Inc.",61.79
"Bank of Beijing Co., Ltd.",Asia,China,Finance,Major Banks,47.39,49.93,46.16,47.06,50.92,4.20,"Weichai Power Co., Ltd.",63.50
"East Money Information Co., Ltd.",Asia,China,Technology Services,Internet Software/Services,44.61,42.12,41.57,48.44,40.71,4.60,DLF Ltd.,66.10
"Zijin Mining Group Co., Ltd.",Asia,China,Non-Energy Minerals,Precious Metals,58.71,62.59,50.40,58.87,61.26,2.60,"Shenzhen Inovance Technology Co., Ltd.",66.50
"Advanced Micro Fabrication Equipment, Inc. China",Asia,China,Producer Manufacturing,Industrial Machinery,48.16,48.23,49.20,47.32,59.46,2.40,Companhia Energética de Minas Gerais SA,54.57
Cipla Ltd.,Asia,India,Health Technology,Pharmaceuticals: Other,55.61,56.50,51.75,56.73,62.59,4.80,UltraTech Cement Ltd.,63.00
"Bank of Communications Co., Ltd.",Asia,China,Finance,Regional Banks,51.95,63.33,47.09,50.01,56.87,4.60,Reliance Industries Ltd.,67.89
ANTA Sports Products Ltd.,Asia,China,Consumer Non-Durables,Apparel/Footwear,54.32,56.21,48.95,55.50,57.95,4.80,COSCO SHIPPING Holdings Co. Ltd.,66.09
"XP, Inc.",South America,Brazil,Technology Services,Internet Software/Services,45.98,44.27,48.93,44.77,60.96,5.30,"IMEIK Technology Development Co., Ltd.",58.37
"Jiangxi Copper Co., Ltd.",Asia,China,Non-Energy Minerals,Other Metals/Minerals,53.53,58.97,45.69,50.55,52.20,6.70,"Zhongji Innolight Co., Ltd.",57.41
"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,50.09,50.28,48.75,50.52,59.24,3.50,"China Vanke Co., Ltd.",65.33
"LONGi Green Energy Technology Co., Ltd.",Asia,China,Electronic Technology,Semiconductors,51.68,52.38,49.62,51.72,67.73,4.20,"GF Securities Co., Ltd.",62.99
"Gree Electric Appliances, Inc. of Zhuhai",Asia,China,Producer Manufacturing,Industrial Machinery,46.36,49.88,43.54,42.23,50.00,2.80,InterGlobe Aviation Ltd.,58.97
"Guotai Junan Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,43.46,43.06,45.21,42.27,62.06,3.10,"Zhuzhou CRRC Times Electric Co., Ltd.",58.58
Sberbank Russia PJSC,Europe,Russian Federation,Finance,Regional Banks,47.19,55.85,47.80,42.81,55.11,3.50,"Huatai Securities Co., Ltd.",65.89
Metallurgical Corp. of China Ltd.,Asia,China,Industrial Services,Engineering & Construction,51.69,52.96,48.93,52.08,61.12,5.70,"Shandong Gold Mining Co., Ltd.",57.73
China Communications Construction Co. Ltd.,Asia,China,Industrial Services,Engineering & Construction,55.42,55.20,51.38,58.66,61.46,6.30,ZTE Corp.,66.62
"Hangzhou Tigermed Consulting Co., Ltd.",Asia,China,Commercial Services,Miscellaneous Commercial Services,51.83,48.41,58.79,50.33,62.16,5.10,China CITIC Bank Corp. Ltd.,53.92
Dongfang Electric Corp. Ltd.,Asia,China,Producer Manufacturing,Electrical Products,47.01,49.34,45.78,43.69,54.80,3.50,"East Money Information Co., Ltd.",40.71
"Shenzhen Inovance Technology Co., Ltd.",Asia,China,Producer Manufacturing,Industrial Machinery,47.29,46.22,46.96,49.63,66.50,5.20,Petróleo Brasileiro SA,57.70
"Huizhou Desay SV Automotive Co., Ltd.",Asia,China,Producer Manufacturing,Auto Parts: OEM,43.04,45.04,42.76,41.15,61.42,4.60,"CGN Power Co., Ltd.",60.58
Tianqi Lithium Corp.,Asia,China,Process Industries,Chemicals: Specialty,51.86,51.79,57.50,46.87,63.67,5.70,"Hangzhou Hikvision Digital Technology Co., Ltd.",65.41
Wipro Ltd.,Asia,India,Technology Services,Information Technology Services,57.38,64.69,58.02,51.51,62.92,4.80,"Chongqing Zhifei Biological Products Co., Ltd.",59.43
"B3 SA-Brasil, Bolsa, Balcão",South America,Brazil,Finance,Investment Managers,52.46,52.19,51.93,53.17,62.54,5.20,"Shanghai International Airport Co., Ltd.",49.41
"China Shipbuilding Industry Co., Ltd.",Asia,China,Producer Manufacturing,Trucks/Construction/Farm Machinery,42.98,44.77,41.65,40.90,58.62,3.20,Cholamandalam Investment & Finance Co. Ltd.,48.96
Divi's Laboratories Ltd.,Asia,India,Health Technology,Pharmaceuticals: Major,52.79,61.03,51.33,50.95,58.72,4.70,"Gree Electric Appliances, Inc. of Zhuhai",50.00
"Foxconn Industrial Internet Co., Ltd.",Asia,China,Electronic Technology,Telecommunications Equipment,52.72,59.07,57.46,43.37,68.27,7.50,China Southern Airlines Co. Ltd.,61.93
"Shanxi Xinghuacun Fen Wine Factory Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Alcoholic,44.09,44.98,43.95,42.75,51.77,3.60,"AECC Aviation Power Co., Ltd.",55.00
"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Asia,China,Producer Manufacturing,Industrial Machinery,45.26,46.99,45.94,41.88,48.56,2.30,"Anhui Gujing Distillery Co., Ltd.",55.90
Huadian Power International Corp. Ltd.,Asia,China,Utilities,Electric Utilities,54.98,60.77,49.04,51.91,61.16,5.80,HDFC Life Insurance Co. Ltd.,54.95
Avenue Supermarts Ltd.,Asia,India,Retail Trade,Specialty Stores,47.96,49.90,44.84,47.24,53.35,3.20,Adani Green Energy Ltd.,61.95
"Guosen Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,44.52,44.46,44.76,44.36,60.82,4.50,Longfor Group Holdings Ltd.,62.71
Coal India Ltd.,Asia,India,Energy Minerals,Coal,58.18,63.10,55.45,53.43,56.44,7.11,"Yihai Kerry Arawana Holdings Co., Ltd.",64.65
Bajaj Auto Ltd.,Asia,India,Consumer Durables,Motor Vehicles,51.73,53.37,45.60,53.31,54.21,6.40,Tianqi Lithium Corp.,63.67
"Aier Eye Hospital Group Co., Ltd.",Asia,China,Health Services,Medical/Nursing Services,47.59,48.93,46.85,47.21,58.08,2.30,Dr. Reddy's Laboratories Ltd.,66.09
JSW Steel Ltd.,Asia,India,Non-Energy Minerals,Steel,63.32,71.92,51.48,57.72,61.02,7.20,China International Capital Corp. Ltd.,61.80
"WuXi AppTec Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,55.16,59.70,54.67,54.03,66.17,3.50,Aluminum Corp. of China Ltd.,62.86
Cholamandalam Investment & Finance Co. Ltd.,Asia,India,Finance,Finance/Rental/Leasing,49.08,51.54,46.64,49.60,48.96,2.50,Power Finance Corp. Ltd.,51.42
SAIC Motor Corp. Ltd.,Asia,China,Consumer Durables,Motor Vehicles,44.63,46.68,43.13,42.85,63.34,5.80,Novolipetsk Steel,72.34
PhosAgro PJSC,Europe,Russian Federation,Process Industries,Chemicals: Agricultural,57.18,60.02,54.57,54.12,67.13,8.10,"Postal Savings Bank of China Co., Ltd.",58.55
"Shanghai International Port (Group) Co., Ltd.",Asia,China,Transportation,Other Transportation,46.69,45.23,44.21,52.53,61.31,3.10,"Li Auto, Inc.",42.96
Vale SA,South America,Brazil,Non-Energy Minerals,Steel,64.03,70.93,59.00,56.13,56.01,10.20,"Muyuan Foods Co., Ltd.",65.96
ZTE Corp.,Asia,China,Electronic Technology,Telecommunications Equipment,52.74,53.34,48.84,54.44,66.62,2.40,"S.F. Holding Co., Ltd.",65.20
Kotak Mahindra Bank Ltd.,Asia,India,Finance,Major Banks,60.96,71.28,62.02,55.50,60.90,7.20,"Focus Media Information Technology Co., Ltd.",47.66
"New China Life Insurance Co., Ltd.",Asia,China,Finance,Multi-Line Insurance,47.35,51.88,42.23,48.00,45.84,2.40,"BYD Electronic (International) Co., Ltd.",54.08
"China Northern Rare Earth (Group) High-Tech Co., Ltd.",Asia,China,Process Industries,Chemicals: Specialty,43.20,43.86,40.48,44.33,59.02,5.30,HDFC Bank Ltd.,52.79
"Daqin Railway Co., Ltd.",Asia,China,Transportation,Railroads,43.49,45.87,44.56,38.28,46.23,2.50,"Inner Mongolia Yili Industrial Group Co., Ltd.",68.55
"Zhangzhou Pientzehuang Pharmaceutical Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,47.67,53.34,44.03,47.35,56.85,4.20,"Iflytek Co., Ltd.",46.88
Kuaishou Technology,Asia,China,Technology Services,Information Technology Services,41.75,48.81,42.47,36.13,56.71,1.40,ANTA Sports Products Ltd.,57.95
"Anhui Gujing Distillery Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Alcoholic,43.60,44.72,43.73,41.78,55.90,2.50,"China Minsheng Banking Corp., Ltd.",57.45
"Gongniu Group Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,46.59,48.19,46.08,44.01,57.28,4.20,Punjab National Bank,44.12
"Guangzhou Automobile Group Co., Ltd.",Asia,China,Consumer Durables,Motor Vehicles,48.61,52.71,43.33,46.44,63.27,2.50,Shree Cement Ltd.,60.20
China Tower Corp. Ltd.,Asia,China,Communications,Specialty Telecommunications,53.60,57.38,46.02,55.45,56.68,6.30,"Gongniu Group Co., Ltd.",57.28
"Hainan Airlines Holding Co., Ltd.",Asia,China,Transportation,Airlines,44.99,43.80,45.57,45.94,49.26,2.60,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",67.12
"Didi Global, Inc.",Asia,China,Transportation,Other Transportation,42.61,42.19,44.17,42.13,42.62,1.30,Larsen & Toubro Ltd.,64.27
"Zhuzhou CRRC Times Electric Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,45.92,47.43,45.02,43.99,58.58,2.80,Sberbank Russia PJSC,55.11
Klabin SA,South America,Brazil,Non-Energy Minerals,Forest Products,61.55,65.39,54.96,57.18,64.23,6.10,"Guosen Securities Co., Ltd.",60.82
"Huadong Medicine Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,49.63,48.28,43.65,52.15,56.69,3.10,Banco Bradesco SA,69.20
"NIO, Inc.",Asia,China,Consumer Durables,Motor Vehicles,53.47,56.64,50.99,50.79,44.70,3.60,"AVIC Shenyang Aircraft Co., Ltd.",47.38
Trip.com Group Ltd.,Asia,China,Consumer Services,Other Consumer Services,51.82,47.23,50.75,55.78,43.06,3.10,"Ningxia Baofeng Energy Group Co., Ltd.",63.67
"Foshan Haitian Flavouring & Food Co., Ltd.",Asia,China,Consumer Non-Durables,Food: Specialty/Candy,48.01,49.88,46.39,46.41,58.95,3.10,"CSC Financial Co., Ltd.",63.59
InterGlobe Aviation Ltd.,Asia,India,Transportation,Airlines,51.77,52.91,53.19,48.41,58.97,5.30,Transneft PJSC,52.93
Adani Energy Solutions Ltd.,Asia,India,Utilities,Electric Utilities,60.27,62.78,61.01,55.33,58.70,9.60,"Bank of Jiangsu Co., Ltd.",53.71
"Fuyao Glass Industry Group Co., Ltd.",Asia,China,Consumer Durables,Home Furnishings,56.82,62.72,46.02,55.12,62.44,2.40,"Hangzhou Tigermed Consulting Co., Ltd.",62.16
"GF Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,44.55,50.87,48.38,39.06,62.99,1.60,Chongqing Changan Automobile Co. Ltd.,56.17
Bharti Airtel Ltd.,Asia,India,Communications,Wireless Telecommunications,58.53,55.93,60.16,59.96,61.83,4.20,"Hengli Petrochemical Co., Ltd.",61.09
"Guangzhou Baiyunshan Pharmaceutical Holdings Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,46.26,49.86,46.32,45.21,60.46,1.30,"China Shenhua Energy Co., Ltd.",67.64
Godrej Consumer Products Ltd.,Asia,India,Consumer Non-Durables,Household/Personal Care,53.22,52.75,49.13,55.81,69.18,5.70,Companhia Paranaense de Energia,54.20
